Id_cliente;Genero;Adulto_mayor;Tiene_pareja;Dependientes;Permanencia;ServicioTelefonico;LineasMultiples;ServicioInternet;SeguridadLinea;CopiaSeguridad;ProteccionDispositivo;SoporteTecnico;StreamingTV;StreamingPelicula;Contrato;FacturacionSpapel;MetodoPago;CargosMensuales;CargosTotales;Abandono
5154-VEKBL;Femenina;0;No;No;9;No;No hay servicio telefónico;DSL;Si;No;Si;Si;Si;Si;Mes a mes;No;Cheque enviado por correo;585;53985;Si
4324-AHJKS;Femenina;0;No;No;5;Si;No;DSL;Si;No;Si;No;No;No;Mes a mes;No;Tarjeta de crédito (automática);558;3004;No
4355-CVPVS;Femenina;0;Si;Si;56;Si;No;Fibra optica;No;No;No;No;Si;Si;Un año;No;Transferencia bancaria (automática);889;4968;No
4495-LHSSK;Femenina;0;No;Si;18;Si;Si;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque enviado por correo;5765;9927;No
5655-JSMZM;Masculino;1;No;No;49;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;962;471825;Si
5915-ANOEI;Masculino;0;Si;No;70;Si;Si;DSL;Si;Si;Si;Si;Si;No;Dos años;No;Cheque enviado por correo;7915;55365;No
9861-PDSZP;Femenina;0;No;No;72;Si;Si;Fibra optica;No;Si;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);10805;78066;No
4505-EXZHB;Femenina;1;No;No;6;Si;No;Fibra optica;No;No;Si;No;No;No;Mes a mes;No;Cheque electronico;744;4341;Si
7225-CBZPL;Masculino;1;Si;No;17;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;948;15639;No
6704-UTUKK;Masculino;0;Si;No;29;No;No hay servicio telefónico;DSL;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;459;13324;No
4587-VVTOX;Femenina;0;Si;No;6;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;1053;5452;Si
2019-HDCZY;Masculino;0;Si;No;63;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Dos años;No;Cheque electronico;1026;629675;No
4652-NNHNY;Masculino;0;Si;No;16;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);7385;12842;Si
8788-DOXSU;Masculino;0;No;No;59;Si;No;DSL;No;No;Si;No;No;Si;Un año;Si;Transferencia bancaria (automática);6135;36455;No
7404-JLKQG;Femenina;0;No;No;3;Si;No;DSL;No;No;Si;No;Si;No;Mes a mes;No;Cheque electronico;5755;16145;No
7421-ZLUPA;Femenina;0;No;No;8;No;No hay servicio telefónico;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;2925;22695;No
8972-HJWNV;Femenina;1;Si;No;7;Si;Si;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;8455;64685;Si
3274-NSDWE;Femenina;0;No;No;68;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);196;144165;No
2632-IVXVF;Femenina;0;Si;Si;68;Si;Si;Fibra optica;Si;No;Si;Si;Si;Si;Dos años;No;Tarjeta de crédito (automática);11175;75113;No
3692-JHONH;Femenina;1;Si;No;52;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Un año;Si;Cheque electronico;1065;562185;No
8915-NNTRC;Masculino;0;Si;Si;72;Si;Si;Fibra optica;Si;Si;No;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);1077;79198;No
5914-GXMDA;Femenina;0;Si;No;32;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Cheque enviado por correo;193;5932;No
7463-IFMQU;Femenina;0;Si;No;72;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);2005;142365;No
2920-RNCEZ;Masculino;0;Si;Si;1;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);6995;6995;No
2541-YGPKE;Masculino;0;Si;Si;42;Si;No;DSL;Si;No;No;Si;No;Si;Un año;No;Tarjeta de crédito (automática);637;276335;No
8515-OCTJS;Femenina;0;No;No;25;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);2475;6921;Si
5382-TEMLV;Masculino;0;No;No;45;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);509;229855;No
3441-CGZJH;Femenina;0;Si;Si;43;No;No hay servicio telefónico;DSL;Si;No;Si;Si;Si;Si;Un año;Si;Tarjeta de crédito (automática);604;264055;No
9592-ERDKV;Masculino;0;Si;No;37;Si;Si;DSL;Si;No;Si;No;Si;Si;Un año;No;Cheque enviado por correo;7925;29118;No
2860-RANUS;Femenina;1;No;No;20;Si;Si;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Tarjeta de crédito (automática);858;17275;Si
5261-QSHQM;Femenina;0;No;No;4;No;No hay servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;2445;866;Si
4778-IZARL;Masculino;0;Si;No;63;Si;No;Fibra optica;Si;Si;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);1101;67057;No
0432-CAJZV;Masculino;0;No;No;3;Si;No;Fibra optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque enviado por correo;907;23765;No
7008-LZVOZ;Masculino;0;Si;Si;66;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Tarjeta de crédito (automática);253;167235;No
8868-WOZGU;Masculino;0;No;No;28;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;1057;29795;Si
1200-TUZHR;Femenina;1;No;No;8;Si;Si;Fibra optica;No;No;No;No;No;Si;Mes a mes;No;Cheque electronico;852;69575;No
9365-CSLBQ;Masculino;0;No;Si;71;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;2435;16546;No
1334-FJSVR;Masculino;0;No;No;1;No;No hay servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;2425;2425;Si
5884-FBCTL;Femenina;0;Si;Si;72;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);251;185785;No
7130-CTCUS;Masculino;1;Si;No;16;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);5455;8251;No
6242-FEGFD;Masculino;0;Si;No;66;Si;Si;Fibra optica;Si;Si;Si;Si;No;No;Dos años;No;Cheque enviado por correo;966;642425;No
7625-XCQRH;Femenina;0;No;No;11;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;765;83795;Si
6194-HBGQN;Masculino;0;No;No;51;Si;Si;DSL;Si;Si;Si;Si;Si;No;Un año;Si;Tarjeta de crédito (automática);8115;41262;No
7634-WSWDB;Femenina;0;No;Si;8;No;No hay servicio telefónico;DSL;Si;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;385;3308;No
6986-IXNDM;Masculino;0;No;No;14;Si;No;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;929;133745;No
1731-TVIUK;Femenina;0;No;No;4;Si;Si;Fibra optica;No;Si;No;Si;No;Si;Mes a mes;Si;Cheque electronico;935;3622;Si
2987-BJXIK;Femenina;0;No;No;70;Si;Si;DSL;Si;Si;Si;No;Si;Si;Dos años;No;Cheque enviado por correo;847;599105;No
9769-TSBZE;Femenina;0;No;Si;70;Si;Si;DSL;Si;Si;No;Si;No;No;Dos años;No;Cheque electronico;66;48915;No
0406-BPDVR;Femenina;1;Si;No;54;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Un año;Si;Tarjeta de crédito (automática);1015;53731;Si
0618-XWMSS;Masculino;0;No;Si;28;Si;No;Fibra optica;Si;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);749;206855;Si
1395-WSWXR;Masculino;0;No;No;24;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;2075;48705;No
6023-GSSXW;Femenina;0;Si;No;69;Si;No;DSL;No;Si;No;No;No;Si;Dos años;Si;Tarjeta de crédito (automática);6145;41312;No
6752-APNJL;Masculino;0;Si;Si;42;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;No;Cheque enviado por correo;545;230115;No
5276-KQWHG;Femenina;1;No;No;2;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;696;13165;Si
0420-HLGXF;Femenina;1;No;No;39;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;9975;4036;No
7446-KQISO;Masculino;0;Si;Si;45;Si;Si;Fibra optica;No;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);10975;490065;No
9823-EALYC;Masculino;0;Si;Si;72;Si;Si;DSL;Si;Si;Si;Si;Si;No;Dos años;Si;Transferencia bancaria (automática);8085;572745;No
0582-AVCLN;Femenina;0;No;No;38;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;203;74305;No
5803-NQJZO;Masculino;0;Si;No;72;Si;Si;DSL;Si;Si;Si;Si;No;No;Dos años;Si;Transferencia bancaria (automática);678;480465;No
2565-JSLRY;Masculino;0;No;No;1;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;2405;2405;Si
2607-DHDAK;Masculino;0;Si;Si;72;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Tarjeta de crédito (automática);198;141465;No
1073-XXCZD;Masculino;0;Si;No;55;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);257;144365;No
0743-HRVFF;Femenina;0;Si;Si;51;No;No hay servicio telefónico;DSL;No;No;Si;Si;Si;Si;Un año;Si;Cheque electronico;5615;289895;No
4006-HKYHO;Masculino;0;No;No;63;Si;No;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);867;53095;No
3727-JEZTU;Femenina;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;204;204;No
8143-ETQTI;Femenina;0;Si;Si;23;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Cheque enviado por correo;1965;45155;No
6689-KXGBO;Femenina;0;No;No;1;Si;No;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;5055;5055;Si
9667-TKTVZ;Femenina;0;No;No;2;Si;Si;DSL;No;No;No;Si;No;No;Mes a mes;Si;Cheque enviado por correo;5435;11705;No
3657-COGMW;Femenina;1;No;No;52;Si;Si;Fibra optica;Si;Si;Si;No;Si;Si;Mes a mes;No;Tarjeta de crédito (automática);1081;58393;No
8570-KLJYJ;Femenina;0;No;No;36;Si;Si;DSL;Si;No;No;No;No;No;Un año;No;Cheque enviado por correo;5445;18935;No
7754-IXRMC;Femenina;0;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque enviado por correo;4535;4535;No
9473-CBZOP;Femenina;0;No;No;28;Si;Si;DSL;Si;No;Si;No;No;No;Un año;No;Cheque enviado por correo;59;165445;No
2969-WGHQO;Femenina;0;Si;Si;7;Si;No;DSL;Si;Si;Si;No;Si;No;Un año;No;Cheque electronico;6945;47705;No
6615-NGGZJ;Masculino;0;No;No;14;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;10055;141555;Si
4334-HOWRP;Masculino;1;Si;No;72;No;No hay servicio telefónico;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);6495;4546;No
4255-DDUOU;Femenina;0;Si;Si;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;205;205;Si
5863-OOKCL;Femenina;0;No;No;10;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;1885;1632;No
1686-STUHN;Masculino;0;No;No;42;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Transferencia bancaria (automática);198;8499;No
1329-VHWNP;Femenina;0;No;No;7;No;No hay servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);2505;18995;No
2984-MIIZL;Masculino;0;No;No;4;Si;No;Fibra optica;No;No;Si;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);748;3219;Si
0266-GMEAO;Masculino;0;Si;Si;72;Si;Si;Fibra optica;Si;Si;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);1143;805855;No
5590-YRFJT;Femenina;0;Si;No;20;No;No hay servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;2445;4828;Si
5574-NXZIU;Masculino;0;No;No;63;Si;No;Fibra optica;Si;Si;Si;Si;Si;Si;Dos años;No;Tarjeta de crédito (automática);1092;704975;No
0019-GFNTW;Femenina;0;No;No;56;No;No hay servicio telefónico;DSL;Si;Si;Si;Si;No;No;Dos años;No;Transferencia bancaria (automática);4505;25601;No
4256-ZWTZI;Femenina;0;No;Si;5;Si;No;DSL;No;No;No;Si;No;No;Mes a mes;Si;Cheque enviado por correo;51;2868;No
8309-PPCED;Femenina;0;Si;No;72;Si;Si;Fibra optica;No;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);11045;79825;No
4098-NAUKP;Masculino;1;Si;Si;68;Si;Si;Fibra optica;No;Si;Si;No;No;No;Mes a mes;Si;Cheque electronico;8465;56836;No
5196-WPYOW;Masculino;0;Si;Si;67;Si;No;DSL;Si;Si;No;Si;No;No;Un año;No;Cheque enviado por correo;6005;399405;No
4608-LCIMN;Masculino;0;Si;Si;8;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);4465;36915;No
1485-YDHMM;Masculino;0;Si;Si;52;Si;Si;Fibra optica;No;Si;No;Si;No;Si;Mes a mes;Si;Transferencia bancaria (automática);9325;46317;No
4054-CUMIA;Femenina;0;Si;Si;18;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;2025;40195;No
0603-TPMIB;Femenina;0;Si;Si;59;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;2545;153405;No
2525-GVKQU;Femenina;0;No;No;60;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;206;1093;No
8161-QYMTT;Masculino;0;No;No;7;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;941;7013;No
9581-GVBXT;Masculino;0;Si;Si;59;No;No hay servicio telefónico;DSL;Si;No;Si;No;No;No;Un año;No;Cheque enviado por correo;348;19803;No
5862-BRIXZ;Masculino;0;No;No;46;No;No hay servicio telefónico;DSL;Si;No;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);6075;28934;No
5404-GGUKR;Masculino;0;No;No;5;Si;No;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;5135;2623;No
3308-JSGML;Masculino;1;Si;No;59;No;No hay servicio telefónico;DSL;Si;No;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);6405;388685;No
2126-GSEGL;Femenina;0;Si;No;70;Si;Si;DSL;No;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);848;591755;No
3677-TNKIO;Femenina;0;No;No;14;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);71;914;Si
0440-QEXBZ;Femenina;0;No;No;44;Si;Si;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;5015;21391;No
2434-EEVDB;Femenina;0;Si;No;64;Si;Si;Fibra optica;Si;No;Si;No;Si;No;Dos años;Si;Tarjeta de crédito (automática);946;59487;No
6762-QVYJO;Femenina;0;Si;Si;58;No;No hay servicio telefónico;DSL;Si;No;Si;Si;Si;Si;Dos años;No;Cheque enviado por correo;5975;362435;No
6199-IWKGC;Femenina;1;Si;No;46;Si;Si;Fibra optica;No;No;No;Si;Si;Si;Un año;No;Cheque electronico;10025;475385;No
2675-DHUTR;Masculino;1;Si;No;58;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;989;57807;No
8152-VETUR;Femenina;0;Si;No;72;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Dos años;Si;Tarjeta de crédito (automática);977;68697;No
9667-EQRXU;Femenina;1;No;No;30;No;No hay servicio telefónico;DSL;No;No;Si;No;Si;No;Mes a mes;Si;Cheque electronico;403;117295;Si
7446-YPODE;Masculino;1;No;No;11;Si;Si;DSL;Si;Si;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);6025;66295;No
9522-BNTHX;Femenina;1;No;No;34;No;No hay servicio telefónico;DSL;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;5625;176595;No
4676-WLUHT;Masculino;0;No;No;54;No;No hay servicio telefónico;DSL;Si;Si;No;No;No;Si;Dos años;No;Transferencia bancaria (automática);462;243195;No
3329-WDIOK;Femenina;0;No;No;3;No;No hay servicio telefónico;DSL;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;506;15535;Si
7980-MHFLQ;Femenina;0;Si;Si;72;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;249;18592;No
2873-ZLIWT;Femenina;0;Si;Si;40;Si;Si;Fibra optica;No;No;Si;Si;No;No;Mes a mes;Si;Cheque electronico;8485;330305;Si
3415-TAILE;Femenina;0;Si;Si;2;Si;No;DSL;No;No;No;No;Si;Si;Mes a mes;No;Cheque enviado por correo;657;13435;Si
0757-WCUUZ;Masculino;0;Si;Si;54;Si;Si;DSL;No;No;Si;No;No;Si;Dos años;No;Tarjeta de crédito (automática);6335;34091;No
1629-DQQVB;Femenina;0;No;No;14;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);501;7095;No
1915-IOFGU;Femenina;0;No;No;1;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;705;705;Si
3045-XETSH;Femenina;0;No;No;10;Si;Si;Fibra optica;No;Si;Si;No;No;Si;Mes a mes;Si;Cheque electronico;9485;95345;Si
0374-AACSZ;Femenina;0;No;No;1;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque electronico;5015;5015;No
7239-HZZCX;Masculino;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;1975;1975;Si
4872-VXRIL;Masculino;0;No;No;56;Si;Si;DSL;Si;Si;No;Si;No;No;Un año;Si;Transferencia bancaria (automática);6465;366555;No
9140-CZQZZ;Femenina;0;Si;No;68;Si;No;DSL;Si;Si;No;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);796;55158;No
3423-HHXAO;Femenina;0;Si;Si;14;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Cheque enviado por correo;195;272;No
9938-TKDGL;Masculino;0;Si;Si;68;Si;No;Fibra optica;Si;No;No;Si;Si;Si;Dos años;Si;Cheque electronico;9955;6668;No
0531-ZZJWQ;Masculino;1;Si;No;55;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;74;40524;No
6537-QLGEX;Femenina;0;No;No;16;No;No hay servicio telefónico;DSL;Si;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;389;6644;No
2688-BHGOG;Masculino;1;No;No;9;Si;No;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;7955;71855;No
7683-CBDKJ;Masculino;0;Si;Si;14;Si;No;DSL;Si;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;6545;9376;Si
0946-CLJTI;Masculino;1;Si;No;58;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;987;58126;Si
3160-TYXLT;Masculino;0;No;No;53;No;No hay servicio telefónico;DSL;Si;Si;No;No;No;Si;Mes a mes;Si;Transferencia bancaria (automática);463;254685;No
1325-USMEC;Masculino;0;Si;No;70;Si;Si;Fibra optica;Si;Si;Si;No;Si;No;Dos años;Si;Tarjeta de crédito (automática);9935;69445;No
0916-QOFDP;Femenina;1;Si;Si;14;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;958;13463;No
0628-CNQRM;Masculino;0;Si;Si;22;Si;No;DSL;Si;No;Si;Si;Si;No;Un año;Si;Transferencia bancaria (automática);675;154405;Si
5606-AMZBO;Femenina;0;Si;No;10;Si;Si;Fibra optica;Si;No;No;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);7815;76515;No
6199-IPCAO;Femenina;0;Si;Si;29;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;261;69255;No
7665-TOALD;Femenina;0;No;No;1;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;696;696;Si
0112-QWPNC;Masculino;0;Si;No;49;Si;Si;DSL;Si;No;Si;Si;Si;Si;Un año;No;Cheque electronico;8435;405935;Si
0324-BRPCJ;Femenina;1;Si;No;68;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;1002;685165;Si
2777-PHDEI;Femenina;0;No;No;1;Si;No;Fibra optica;No;No;No;No;Si;No;Mes a mes;No;Cheque electronico;7805;7805;Si
5640-CAXOA;Femenina;0;No;No;30;No;No hay servicio telefónico;DSL;No;No;No;Si;No;Si;Un año;Si;Tarjeta de crédito (automática);4035;118705;No
2235-EZAIK;Femenina;0;Si;No;72;Si;Si;DSL;Si;Si;Si;Si;Si;No;Dos años;No;Tarjeta de crédito (automática);792;54019;No
3847-BAERP;Femenina;0;No;No;10;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;209;247;No
1196-AMORA;Masculino;0;No;No;7;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;736;520;Si
4282-YMKNA;Femenina;0;No;No;9;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;7475;7066;Si
1453-RZFON;Femenina;0;No;Si;1;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque enviado por correo;499;499;No
8263-OKETD;Femenina;0;No;No;20;Si;Si;DSL;No;Si;No;Si;No;Si;Mes a mes;Si;Tarjeta de crédito (automática);689;137035;No
0670-KDOMA;Femenina;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;2025;2025;No
2476-YGEFM;Femenina;0;No;No;29;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);76;221525;No
8687-BAFGU;Masculino;0;No;No;1;Si;No;Fibra optica;No;No;No;Si;No;No;Mes a mes;No;Cheque electronico;74;74;No
0641-EVBOJ;Masculino;0;No;No;3;Si;No;Fibra optica;Si;No;No;Si;No;No;Mes a mes;Si;Cheque enviado por correo;823;2144;No
0829-XXPLX;Femenina;0;No;No;20;Si;No;Fibra optica;Si;No;Si;No;Si;No;Mes a mes;Si;Transferencia bancaria (automática);894;187115;No
9974-JFBHQ;Masculino;0;No;Si;64;Si;No;Fibra optica;No;Si;No;Si;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);9915;61712;No
5356-RHIPP;Masculino;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;202;202;Si
6624-JDRDS;Femenina;0;No;No;6;No;No hay servicio telefónico;DSL;Si;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);2945;16145;No
0608-JDVEC;Masculino;0;Si;No;50;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque electronico;198;10132;No
9780-FKVVF;Masculino;0;No;No;6;Si;No;DSL;Si;No;No;No;No;Si;Mes a mes;Si;Transferencia bancaria (automática);5915;3367;No
1919-RTPQD;Masculino;0;Si;Si;7;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;4475;33365;No
5214-NLTIT;Masculino;0;Si;Si;72;Si;Si;Fibra optica;No;No;Si;No;No;Si;Dos años;Si;Tarjeta de crédito (automática);908;65118;No
3345-PBBFH;Masculino;0;Si;No;8;Si;No;DSL;No;Si;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);4955;39345;No
5055-BRMNE;Femenina;0;Si;Si;67;Si;Si;Fibra optica;Si;No;No;Si;Si;Si;Dos años;No;Tarjeta de crédito (automática);1067;70095;No
9189-JWSHV;Femenina;1;Si;No;24;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;9355;226405;Si
2190-PHBHR;Femenina;0;Si;No;72;Si;Si;Fibra optica;Si;Si;No;No;No;Si;Dos años;Si;Tarjeta de crédito (automática);9445;69217;No
2650-GYRYL;Masculino;0;Si;Si;33;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Transferencia bancaria (automática);1945;60025;No
0746-JTRFU;Masculino;0;No;No;2;No;No hay servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;2505;5635;Si
